id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm
1129741,1,41.88282,-87.72026,2,2.0,80.0,500.0,50.0,0.0,7,1125,7,1125,0,0,0,0
1171860,5,41.92628,-87.64026,2,1.0,50.0,0.0,0.0,15.0,7,65,7,65,22,27,532,58
1183249,5,41.9395,-87.64483,2,1.0,79.0,0.0,0.0,0.0,7,65,7,65,22,58,500,58
1185749,1,41.87086,-87.68305,6,1.0,99.0,0.0,75.0,30.0,3,90,3,1125,30,126,314,39
1195259,0,41.91095,-87.67783,3,1.0,135.0,0.0,50.0,30.0,4,1124,4,1124,30,360,180,11
1225964,0,41.93804,-87.64134,2,2.0,70.0,200.0,125.0,0.0,2,29,2,29,23,349,9,0
1229238,2,41.94735,-87.75761999999997,10,2.0,210.0,0.0,0.0,50.0,1,2,1,2,20,344,95,14
1229267,2,41.94556,-87.75419000000002,2,1.0,40.0,0.0,0.0,25.0,1,5,1,5,27,351,11,3
1249397,2,41.97009,-87.67423000000002,5,2.0,130.0,0.0,0.0,0.0,1,1125,1,1125,0,157,11,1
1296053,4,41.82147,-87.60086,2,1.0,75.0,200.0,40.0,10.0,1,1125,1,1125,29,87,27,0
1296218,4,41.82184,-87.60129,2,1.0,75.0,200.0,40.0,10.0,1,15,1,15,29,87,23,1
1304049,1,41.8719,-87.68486,2,1.0,100.0,0.0,25.0,25.0,1,1125,1,1125,30,365,103,7
1321332,1,41.92913,-87.66920999999998,16,3.5,395.0,800.0,190.0,35.0,2,60,4,1125,27,341,74,11
1325769,1,41.91355,-87.63675,1,1.0,198.0,200.0,80.0,50.0,1,30,1,30,29,89,23,2
1333431,4,41.82179,-87.59985999999998,6,1.0,200.0,400.0,75.0,50.0,1,15,1,15,30,348,6,0
1356190,1,41.92083,-87.68896,2,1.0,90.0,0.0,0.0,25.0,1,1125,1,1125,29,323,304,92
1361421,5,41.9459,-87.65460999999998,2,11.0,80.0,0.0,0.0,0.0,1,14,1,14,22,357,28,10
1369384,1,41.95564,-87.71154,2,1.0,60.0,0.0,5.0,15.0,2,7,2,7,0,140,125,0
1392594,1,41.96952,-87.67239000000002,8,2.0,168.0,0.0,75.0,25.0,3,28,3,28,4,195,24,3
1427950,1,41.98496,-87.66806,2,1.0,120.0,500.0,50.0,0.0,3,31,3,31,0,0,79,13
1428589,4,41.82781,-87.60523,3,1.5,50.0,200.0,25.0,25.0,1,1125,1,1125,24,350,273,17
1434078,4,41.92989,-87.64103,6,1.5,380.0,150.0,50.0,35.0,12,1125,12,1125,27,362,14,1
1461451,16,42.01653,-87.68788,1,2.0,25.0,100.0,12.0,0.0,1,1125,1,1125,30,180,151,14
1468342,1,41.81266,-87.61586,2,1.0,65.0,150.0,30.0,20.0,2,7,2,7,29,360,123,18
1475647,16,42.01653,-87.68788,1,2.0,25.0,100.0,12.0,0.0,1,1125,1,1125,7,157,97,16
1502674,10,41.91307000000001,-87.64012,5,1.0,158.0,0.0,125.0,25.0,4,180,4,180,23,335,36,17
1502700,10,41.91406,-87.63934,10,2.0,425.0,0.0,195.0,25.0,4,120,4,120,21,319,16,3
1541692,1,41.82936,-87.6048,2,1.0,55.0,0.0,60.0,25.0,3,7,3,7,22,353,94,17
1554433,1,41.71348,-87.67195,2,1.5,90.0,0.0,0.0,0.0,2,1125,2,1125,27,362,162,21
1573401,4,41.85763,-87.66235999999998,4,1.0,65.0,0.0,35.0,10.0,2,14,2,14,0,194,187,61
1584422,7,41.90607,-87.6488,10,3.0,344.0,0.0,125.0,25.0,3,21,3,21,0,0,26,3
1584509,2,41.90697,-87.62941,11,5.0,475.0,3000.0,300.0,150.0,2,1125,2,1125,25,307,53,8
1587078,5,41.91638,-87.68422,4,1.0,149.0,1000.0,50.0,40.0,2,1125,2,1125,29,336,293,34
1591370,1,42.01114000000001,-87.67634,6,1.0,90.0,500.0,50.0,20.0,2,29,2,29,30,359,93,25
1614802,1,41.93455,-87.66141,3,1.0,60.0,0.0,0.0,10.0,4,90,4,90,28,293,271,43
1623463,1,41.859,-87.6462,6,1.0,135.0,250.0,50.0,25.0,2,31,3,31,29,89,40,11
1641601,1,41.97282,-87.67257,2,1.0,69.0,150.0,25.0,10.0,2,120,2,120,30,348,275,35
1648786,1,41.72836,-87.6136,4,1.0,32.0,0.0,0.0,10.0,2,30,2,30,22,348,84,19
1656336,2,41.82516,-87.67456,4,1.0,95.0,200.0,50.0,15.0,1,30,1,30,16,339,269,33
1663673,6,41.89322,-87.68571999999998,4,1.0,99.0,0.0,75.0,25.0,2,1125,2,1125,29,175,317,46
1668481,1,41.89665,-87.69719,4,1.0,82.0,200.0,40.0,15.0,45,185,45,185,0,9,109,1
1672647,1,41.99892,-87.67322,7,1.0,109.0,0.0,0.0,10.0,7,365,7,1125,17,339,224,24
1678422,3,41.93465,-87.65754,2,1.0,75.0,250.0,65.0,50.0,1,8,1,8,30,90,28,2
1721045,6,41.89003,-87.66254,2,2.0,71.0,110.0,30.0,15.0,1,60,1,60,30,345,94,22
1746734,2,41.79984,-87.59465,2,1.0,101.0,0.0,50.0,0.0,2,1125,2,1125,30,332,337,32
1755737,0,41.94036,-87.64068,2,2.0,155.0,3500.0,250.0,0.0,365,730,365,730,28,363,0,0
1759266,2,41.93396,-87.65897,6,1.0,250.0,250.0,75.0,0.0,3,365,3,365,0,269,32,2
1759389,3,41.84801,-87.68127,1,1.5,70.0,0.0,35.0,0.0,2,180,2,1125,8,319,120,14
1778910,11,41.85675,-87.65501,10,1.0,69.0,0.0,19.0,19.0,1,365,1,365,30,177,476,86
1784523,1,41.93998,-87.70272,4,1.0,99.0,0.0,40.0,0.0,1,365,2,365,29,66,115,20
1810118,1,41.77892,-87.59886,3,1.0,59.0,0.0,0.0,15.0,1,1124,2,1124,28,88,327,50
1837153,1,41.79963,-87.59477,2,1.0,115.0,0.0,0.0,0.0,3,1125,3,1125,3,329,45,2
1852665,81,41.88575,-87.65052,3,1.0,200.0,0.0,0.0,0.0,60,1125,60,1125,0,265,0,0
1854000,1,41.93283,-87.64315,2,1.0,225.0,0.0,90.0,25.0,1,1125,1,1125,30,365,151,0
1900901,3,42.004,-87.67503,1,1.0,80.0,0.0,20.0,0.0,3,90,3,90,16,330,27,0
1917311,1,41.86991,-87.62856,2,1.0,200.0,100.0,100.0,0.0,3,30,3,30,30,100,23,0
1921670,2,41.94663,-87.70783,4,1.0,90.0,0.0,70.0,30.0,2,365,2,1125,1,312,229,25
1944802,81,41.85453,-87.62052,4,2.0,190.0,0.0,0.0,0.0,60,1125,60,1125,30,365,14,0
1954633,1,41.93101,-87.65878000000002,2,2.0,100.0,250.0,25.0,25.0,1,1125,2,1125,29,308,179,32
1960332,5,41.94432000000001,-87.65988,8,2.0,519.0,500.0,150.0,0.0,3,120,3,120,29,313,12,9
1964520,5,41.94993,-87.66173,6,2.0,439.0,500.0,150.0,0.0,3,90,3,1125,28,313,29,16
1965410,5,41.94943,-87.66129000000002,9,2.0,549.0,500.0,175.0,0.0,3,90,3,1125,26,306,33,24
1989590,1,41.91344,-87.69031,2,1.0,55.0,0.0,20.0,0.0,3,17,3,1125,30,334,200,26
1995991,1,41.9453,-87.65084,4,1.0,65.0,100.0,0.0,0.0,3,30,3,30,25,174,276,34
2011301,2,41.92118,-87.68678,2,1.0,75.0,0.0,15.0,0.0,1,1125,1,1125,29,89,198,35
2012443,1,41.89278,-87.66131,2,1.0,55.0,0.0,0.0,10.0,3,1124,45,1124,21,225,188,12
2046900,1,41.95611,-87.67708,4,1.0,116.0,250.0,120.0,25.0,2,1125,2,1125,1,313,45,13
2051690,2,41.98864,-87.69345,2,1.0,50.0,500.0,75.0,0.0,30,60,30,60,11,339,20,5
2062638,3,41.8967,-87.65734,10,2.0,295.0,500.0,100.0,25.0,1,360,5,360,30,360,143,11
2075573,4,41.82926,-87.60859,5,1.5,60.0,200.0,25.0,25.0,1,1125,1,1125,30,329,206,12
2087914,1,41.85658,-87.65423,2,1.0,120.0,0.0,25.0,25.0,1,1125,1,1125,30,358,127,32
2093894,48,41.91827,-87.65263,1,1.0,85.0,0.0,24.0,0.0,1,1125,7,1125,30,39,247,34
2103986,4,41.93395,-87.63923,2,1.0,75.0,0.0,0.0,0.0,1,1125,1,1125,13,255,137,19
2139407,13,41.88745,-87.70784,5,1.0,83.0,0.0,35.0,15.0,1,1125,2,1125,29,345,404,49
2163634,1,41.99462,-87.7795,5,1.0,95.0,100.0,70.0,10.0,1,1125,1,1125,30,213,173,25
