id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm
3835961,42.0059,-87.68285999999998,1,1.0,55.0,3,7,28,2,2
3897045,41.89422,-87.62595999999998,2,1.0,93.0,30,365,30,25,6
3898355,41.85531,-87.65411,5,1.0,69.0,1,365,29,394,73
3907071,41.7961,-87.5929,2,1.0,37.0,2,999,29,69,20
3912360,41.9915,-87.65704000000002,2,1.0,111.0,2,1125,19,61,29
3924599,41.81874000000001,-87.61439,1,1.0,115.0,2,26,30,6,2
3932775,41.97355,-87.66141999999998,2,1.0,80.0,2,1125,0,25,0
3940061,41.88307,-87.63396999999998,3,1.0,155.0,45,90,30,15,1
3944822,41.91088,-87.67704,2,1.0,86.0,2,30,30,321,47
3946324,41.94148,-87.79432,2,1.0,85.0,2,180,30,22,4
3953322,41.91391,-87.65063,6,2.5,90.0,4,1124,25,147,20
3953841,42.0061,-87.66298,2,1.0,80.0,2,1125,29,39,14
3953880,42.00493,-87.66471,2,1.0,80.0,3,1125,22,27,11
3962072,41.88371,-87.68629,8,1.0,120.0,3,1125,12,66,7
3970529,41.9197,-87.67985999999998,4,1.0,150.0,4,29,29,109,10
3979385,41.95717,-87.64828,4,1.0,125.0,2,1125,30,222,32
3979425,41.90127,-87.69165,4,2.5,200.0,3,1125,0,3,0
3983057,41.7961,-87.5929,2,1.0,40.0,2,999,29,51,11
3984079,41.7961,-87.5929,10,1.0,150.0,2,1125,28,11,1
3984383,41.7898,-87.58961,2,1.5,94.0,1,7,0,47,1
4011519,41.7961,-87.5929,1,1.0,30.0,2,1125,22,43,10
4032955,41.91842000000001,-87.67367,2,1.0,500.0,1,2,28,1,0
4051574,41.93869,-87.64426,2,1.0,125.0,1,1125,0,21,0
4051584,41.94061,-87.64544000000002,4,2.0,125.0,3,1125,0,32,2
4075630,41.90427,-87.66726,5,1.0,125.0,30,1125,18,306,40
4083903,41.80404,-87.60922,4,1.0,95.0,1,1125,22,3,3
4092283,41.91752,-87.6358,8,2.0,174.0,1,1000,22,426,57
4096995,41.96278,-87.67339,3,1.0,50.0,1,90,30,16,2
4097267,41.96682,-87.67786,4,1.0,100.0,3,30,30,7,0
4105283,41.99673,-87.6626,2,1.0,38.0,2,120,30,202,13
4150121,41.94966,-87.64745,2,1.0,86.0,1,1125,30,341,40
4156913,41.96705,-87.65772,2,1.0,73.0,1,1125,29,72,27
4157196,41.97783,-87.80185999999998,9,1.0,169.0,2,29,24,69,27
4173269,41.91994,-87.64386999999998,2,1.0,125.0,2,1125,8,281,55
4178970,41.93473,-87.65801,4,1.0,200.0,2,35,29,49,5
4183886,41.89581,-87.61683000000002,8,2.0,344.0,3,31,27,128,14
4214683,41.95037,-87.71123,2,1.0,37.0,2,90,3,84,18
4225006,41.95956,-87.68316999999998,3,1.0,130.0,2,8,30,76,5
4243309,41.94278,-87.64898000000002,2,1.0,69.0,1,1125,29,262,94
4243905,41.92721,-87.69733000000002,4,2.0,275.0,2,1125,0,32,11
4257285,41.99638,-87.66284,1,1.0,60.0,2,1125,30,56,9
4263439,41.90516,-87.6291,2,1.0,109.0,1,32,28,126,23
